title;Pagerank pro 0.8;Pagerank pro 0.85;Pagerank pro 0.9;Pagerank links 0.8;Pagerank links 0.85;Pagerank links 0.9
Curve of constant width;2.5172424502670765;2.458049915730953;2.397206844761968;1.1090795742347836;0.9379636030644178;0.7600623648613691
2D geometric model;1.8469661008566616;1.7429683357477188;1.6370799858123064;0.9280419908463956;0.7631064509041607;0.5945055163465439
Burmester's theory;1.0443488135933876;0.8951968047767878;0.7449400145560503;0.6600659689866006;0.4950494039803744;0.3300330718047917
Kepler–Poinsot polyhedron;3.375538857653737;3.371926257386804;3.36682447232306;2.7212128043174744;2.670508343726397;2.6138650719076395
Conic section;5.999612156301737;6.191571243107319;6.386592052876949;9.692949242889881;10.158592835068703;10.624681599438189
Borromean rings;2.853012178093195;2.813501050695777;2.7720672078430653;0.6839503766968846;0.5160587606951594;0.3476279671303928
Homothetic center;1.6553679015487432;1.5406403690576551;1.424170332029462;1.405773451551795;1.2817590031772852;1.1603937018662691
Spherical trigonometry;3.688537981361151;3.707643365487456;3.725746413692832;3.1582370866090064;3.1798190902918577;3.2012066803872585
Wallpaper group;3.5739492159336805;3.577082883566618;3.577857743948698;3.8684019818902016;3.8531653117388487;3.813056740909815
Focus (geometry);2.116655232384801;2.037674188613892;1.9579401705414057;3.2248024363070726;3.205500543117523;3.18156648427248
Elliptic geometry;2.8432458639144897;2.808803925290704;2.7732590679079294;4.062976222485304;4.222903400659561;4.39766189083457
Symmetry group;3.3378473017364736;3.3359394874423742;3.333128523081541;6.4484914764761925;6.609778851270676;6.746888160705566
Birational geometry;2.38696183077991;2.3125065490603447;2.2353788372129197;1.469065435230732;1.338417874649167;1.2030894868075848
Root system;3.4376713447272778;3.43152997083962;3.4228926524519916;1.1051987530663607;0.9258025093004107;0.7375222630798817
Geometry;7.383140735328197;7.728679105639457;8.08840524405241;28.02543714642525;28.847530484199524;29.55191396176815
Tessellation;6.6410466097295275;6.891493685543537;7.1479291655123225;5.570738576352596;5.6910887360572815;5.792628042399883
Locus (mathematics);3.8085205014795065;3.8386092055588965;3.868260653689504;3.180790226906538;3.1723082065582275;3.1600859947502613
Concurrent lines;2.2130454890429974;2.1337619982659817;2.052814234048128;2.563557121902704;2.578492509201169;2.6056442875415087
Affine space;4.010549746453761;4.04380215331912;4.0749888867139825;6.358799058943987;6.62834569811821;6.898792926222086
Congruence (geometry);4.438095260411501;4.5236097648739815;4.611121490597724;8.76310933381319;9.25844255834818;9.77135915309191
Crystal system;3.2797339372336864;3.270014887675643;3.258874174207449;2.8599475044757128;2.8369829524308443;2.805433701723814
Isosceles triangle;1.4958760002627969;1.3748870696872473;1.2528547085821629;4.419953562319278;4.489246755838393;4.566151648759842
Epipolar geometry;1.7230398952960968;1.6127327689900994;1.5007294714450836;3.3003299031406637;3.300329204648733;3.3002416603267197
Paraboloid;3.4801121801137924;3.4839811269193888;3.486491041257977;3.412146354094148;3.335788380354643;3.239431884139776
Parabolic microphone;1.463324879296124;1.3406041543930771;1.216782722622156;1.0233813663944602;0.8622204186394811;0.6959675811231136
Kepler conjecture;3.2399124465882783;3.2260576263070107;3.2104616984725;1.8844923470169304;1.8100548768416047;1.7283861525356767
Astronomy;8.728364482522009;9.239581413567066;9.779332205653189;6.503812968730927;7.006901316344737;7.566345389932394
Prototile;1.79823930375278;1.68941100127995;1.5783687122166157;1.475244527682662;1.325481804087758;1.1636866256594658
Kissing number problem;3.2025445252656937;3.1776742544025183;3.149753902107477;1.4530147891491652;1.3111268635839224;1.1621464509516954
Homothetic transformation;3.235614160075784;3.2161979470402;3.194290911778808;2.4940338917076588;2.4678655900061135;2.4477527476847167
