,centrality,closeness,betweenness,current flow closeness,current flow betweenness,eigenvector,exclusive editors
2D computer graphics,0.970198675497,0.971061093248,0.000603137339109,3.28488193332,0.00289553921024,0.0356678281001,103
2D geometric model,0.986754966887,0.986928104575,0.00179421690088,2.61880734742,0.00219693888944,0.0190297621865,27
3D computer graphics,0.983443708609,0.983713355049,0.000119000511836,3.97483045453,0.00423937796845,0.0583954437066,150
3D projection,0.993377483444,0.993421052632,1.50906876709e-05,3.8824151168,0.00443217767891,0.0453424437666,77
3-sphere,0.990066225166,0.990163934426,0.0,4.02913346374,0.00487926197621,0.0509459960465,102
Absolute geometry,0.993377483444,0.993421052632,3.14487081589e-05,3.60773780643,0.00385131896892,0.0366978729119,49
Acute and obtuse triangles,0.248344370861,0.570888468809,0.0859078331096,0.239325215916,0.000181321166115,0.00112345719922,1
Affine geometry,0.990066225166,0.990163934426,1.96113346799e-06,3.96918859283,0.00469332836219,0.0481252132965,72
Affine space,0.993377483444,0.993421052632,1.36081445037e-05,4.18056779476,0.00539476709987,0.0573156973938,87
Affine transformation,0.990066225166,0.990163934426,0.0,4.20845333794,0.00547868388957,0.0595230864656,105
Algebraic geometry,1.0,1.0,2.13942567348e-05,4.53403321381,0.00684138680429,0.0837869733463,170
Altitude (triangle),0.993377483444,0.993421052632,5.55342872175e-05,4.07267508547,0.00493775791714,0.0571789923233,100
Analytic geometry,1.0,1.0,0.000103621503611,4.53599289343,0.00670070551388,0.08450525955,145
Angle,0.996688741722,0.996699669967,0.0,4.91961678482,0.00913510783381,0.133161489717,337
Angle trisection,0.986754966887,0.986928104575,0.000115639216196,3.92014031348,0.00428698832471,0.0507464478096,92
Angular defect,0.990066225166,0.990163934426,7.92030537257e-05,3.43496148546,0.00338781790121,0.0315062210674,37
Annulus (mathematics),0.980132450331,0.980519480519,2.90492335597e-06,3.78374140044,0.00389110773874,0.0438495522646,56
Aperiodic tiling,0.990066225166,0.990163934426,8.94562526867e-06,3.70491008601,0.00412986697727,0.0391787825276,85
Archimedean solid,0.990066225166,0.990163934426,6.76509430845e-06,4.22270017669,0.00538919485906,0.0623360563941,113
Arc (projective geometry),0.913907284768,0.920731707317,0.037642742054,1.47575563763,0.000938826176454,0.00798713962067,9
Astronomy,0.996688741722,0.996699669967,4.66397935661e-05,5.01219054644,0.00978560309257,0.161098434809,656
Ball (mathematics),0.996688741722,0.996699669967,7.31893381578e-05,4.02613550829,0.00471420819167,0.0536656608976,98
Bézier curve,0.993377483444,0.993421052632,2.5871571e-05,4.43521160793,0.00630248997312,0.0773978079219,180
Bicentric quadrilateral,0.943708609272,0.94670846395,0.0231304734435,1.8655527067,0.00144384672168,0.0111760793629,12
Binary space partitioning,0.993377483444,0.993421052632,0.000101881838224,3.89510874966,0.00426867822946,0.0478057713427,68
Birational geometry,0.993377483444,0.993421052632,0.00010922608812,3.23455995267,0.00314294645785,0.0273521041066,28
Borromean rings,0.986754966887,0.986928104575,0.000125522041025,3.57589050325,0.00360095444152,0.0365317052562,71
Brahmagupta's formula,0.990066225166,0.990163934426,0.0,3.78237957444,0.00414928919023,0.0418312592282,57
Bretschneider's formula,0.973509933775,0.974193548387,0.000546953744785,2.77654416362,0.00219551725702,0.0210611011832,29
