pagename,average word length,first revision,hidden users,length,page views,unique ip users,unique registered users,unique users,words,Pagerank pro 0.8,Pagerank pro 0.85,Pagerank pro 0.9,Pagerank links 0.8,Pagerank links 0.85,Pagerank links 0.9,firstRevisions,islist,lastRevisions,nbBacklinks,nbCategories,nbLinks,nbcontributors,nbcontributorsBot,nbcontributorsIP,nbcontributorsMembers,nbrevisions,nbrevisionsBot,nbrevisionsIP,nbrevisionsMembers,ns,pageid,quality
2D computer graphics,5.91232091691,2001-10-13T06:23:27Z,0,24124,930542,83,139,222,3490,2.54048849456,2.494008746,2.4478607811,1.88471167348,1.70629401691,1.50084774941,2001-10-13T06:23:27Z,0.0,2014-08-30T01:04:58Z,1134,7,404,215.0,18.0,78.0,119.0,370.0,23.0,124.0,223.0,0,35248,4.0
2D geometric model,5.78658536585,2004-03-08T00:49:59Z,0,1113,155960,13,28,41,164,1.84696610086,1.74296833575,1.63707998581,0.928041990846,0.763106450904,0.594505516347,2004-03-08T00:49:59Z,0.0,2014-08-06T02:15:04Z,59,5,28,40.0,3.0,13.0,24.0,54.0,3.0,20.0,31.0,0,511647,1.0
3D computer graphics,6.36036789298,2007-03-21T05:56:20Z,0,8803,3174611,258,240,498,1196,3.66507936269,3.70670040138,3.75128840096,2.94270925224,2.79696378857,2.61056609452,2007-03-21T05:56:20Z,0.0,2014-07-28T10:07:07Z,2771,8,194,489.0,28.0,250.0,211.0,893.0,65.0,368.0,460.0,0,10175073,4.0
3D projection,5.90776325903,2003-09-07T18:48:57Z,0,8987,1141382,98,113,211,1301,3.43053648248,3.42608802021,3.41950939037,2.3570090998,2.26898817345,2.16098804958,2003-09-07T18:48:57Z,0.0,2014-06-18T14:23:58Z,152,9,62,207.0,16.0,95.0,96.0,351.0,25.0,117.0,209.0,0,313741,2.0
3-sphere,5.07142857143,2002-02-19T11:12:25Z,0,17595,488222,44,117,161,2898,3.6934374366,3.70439770631,3.71301942505,1.78709207103,1.66435667779,1.53504987247,2002-02-19T11:12:25Z,0.0,2014-06-18T16:57:32Z,242,7,116,159.0,12.0,44.0,103.0,277.0,13.0,59.0,205.0,0,39792,4.0
Absolute geometry,5.56116722783,2004-06-02T19:31:39Z,0,5846,77451,22,59,81,891,2.87068472244,2.82842898741,2.78378278017,1.15423754323,1.02975568734,0.907098816242,2004-06-02T19:31:39Z,0.0,2014-05-05T10:01:55Z,38,2,30,78.0,14.0,20.0,44.0,104.0,15.0,27.0,62.0,0,699294,2.0
Acute and obtuse triangles,5.81838733986,2014-10-10T19:11:27Z,0,9048,5549,1,2,3,1327,0.829063821584,0.670529494528,0.51147560589,3.22419940494,3.34117072634,3.48063092679,2020-09-01T00:00:00Z,,1900-09-01T00:00:00Z,13,2,37,,,,,,,,,0,44076423,
Affine geometry,5.42435735356,2003-06-11T09:28:43Z,0,15245,277910,30,82,112,2373,3.49502987228,3.49472602829,3.49225685932,3.40853421949,3.4852232784,3.56835499406,2003-06-11T09:28:43Z,0.0,2014-08-02T11:53:54Z,124,1,97,109.0,15.0,30.0,64.0,205.0,22.0,40.0,143.0,0,243890,3.0
Affine space,5.32582654528,2003-08-18T04:32:19Z,0,13202,401482,64,105,169,2087,4.01054974645,4.04380215332,4.07498888671,6.35879905894,6.62834569812,6.89879292622,2003-08-18T04:32:19Z,0.0,2014-08-07T05:24:38Z,287,2,83,163.0,18.0,61.0,84.0,384.0,30.0,91.0,263.0,0,298834,2.0
Affine transformation,5.59989401166,2002-02-25T15:51:15Z,0,12454,1333126,78,139,217,1887,4.07262099907,4.11169696599,4.14905929938,5.56616485119,5.79465180635,6.02018088102,2002-02-25T15:51:15Z,0.0,2014-08-22T07:51:47Z,317,5,79,208.0,21.0,76.0,111.0,371.0,26.0,107.0,238.0,0,38449,2.0
