,personal pronouns,articles,hf adverbs,prepositions,total words,impersonal pronouns,quantifiers,auxiliary verbs,negations,conjunctions
2D computer graphics,0.00377269511908,0.0933742041971,0.00259372789436,0.0926668238623,4241,0.00306531478425,0.0110822919123,0.0353690167413,0.00212214100448,0.0292383871728
2D geometric model,0.010582010582,0.0899470899471,0.010582010582,0.0899470899471,189,0.0,0.010582010582,0.047619047619,0.00529100529101,0.026455026455
3-sphere,0.00868558193399,0.125940938043,0.0011580775912,0.112044006948,3454,0.00492182976259,0.00897510133179,0.0416907932831,0.0011580775912,0.018818760857
3D computer graphics,0.00143369175627,0.0695340501792,0.00430107526882,0.0924731182796,1395,0.00215053763441,0.00573476702509,0.0250896057348,0.00143369175627,0.0293906810036
3D projection,0.00371517027864,0.105882352941,0.00123839009288,0.0879256965944,1615,0.0030959752322,0.00371517027864,0.0340557275542,0.00185758513932,0.0247678018576
Absolute geometry,0.00272975432211,0.0773430391265,0.00181983621474,0.0991810737034,1099,0.00727934485896,0.00727934485896,0.0373066424022,0.0090991810737,0.0327570518653
Acute and obtuse triangles,0.00598476605005,0.115342763874,0.0,0.101741022851,1838,0.00435255712731,0.0136017410229,0.0337323177367,0.00163220892274,0.0299238302503
Affine geometry,0.00508130081301,0.0819783197832,0.000677506775068,0.107723577236,2952,0.0030487804878,0.00643631436314,0.034891598916,0.0030487804878,0.0233739837398
Affine space,0.00453001132503,0.108720271801,0.00151000377501,0.0947527368818,2649,0.00377500943752,0.00981502453756,0.0385050962627,0.00264250660627,0.0241600604002
Affine transformation,0.00391134289439,0.122120817036,0.000434593654933,0.103867883529,2301,0.00391134289439,0.012603215993,0.0391134289439,0.00304215558453,0.0265102129509
Algebraic geometry,0.00577489687684,0.0993517972893,0.00117855038303,0.111844431349,8485,0.0042427813789,0.00942840306423,0.0342958161461,0.00282852091927,0.0235710076606
Altitude (triangle),0.0019638648861,0.150039277298,0.000785545954438,0.0978004713276,2546,0.00628436763551,0.00706991358995,0.0267085624509,0.000785545954438,0.025137470542
Analytic geometry,0.00630213160334,0.105838739574,0.00166821130677,0.10046339203,5395,0.00741427247451,0.0079703429101,0.0402224281742,0.00407784986098,0.0320667284523
Angle,0.00317604355717,0.107229280097,0.00105868118572,0.102087114338,6612,0.00499092558984,0.00771324863884,0.0450695704779,0.00226860254083,0.0296430732002
Angle trisection,0.00181356546971,0.104098657962,0.00145085237577,0.106274936525,2757,0.00616612259703,0.00834240116068,0.0406238665216,0.0050779833152,0.025027203482
Angular defect,0.000989119683482,0.157270029674,0.0,0.121661721068,1011,0.00197823936696,0.024727992087,0.0375865479723,0.00296735905045,0.0207715133531
Annulus (mathematics),0.0,0.154963680387,0.0,0.128329297821,413,0.00242130750605,0.00726392251816,0.043583535109,0.0,0.0242130750605
Aperiodic tiling,0.00426015336552,0.0752627094575,0.00113604089747,0.0860550979835,3521,0.00284010224368,0.0116444191991,0.0286850326612,0.00369213291679,0.0184606645839
Arc (projective geometry),0.0030303030303,0.106060606061,0.0,0.0878787878788,660,0.00151515151515,0.00151515151515,0.0424242424242,0.00757575757576,0.00606060606061
Archimedean solid,0.00466562986003,0.0642820114049,0.000518403317781,0.0653188180404,1929,0.00259201658891,0.0103680663556,0.0274753758424,0.00259201658891,0.0228097459824
Astronomy,0.00407055630936,0.0847580280416,0.00135685210312,0.0926277702397,11055,0.00262324739937,0.00569877883311,0.025961103573,0.000723654454998,0.0264133876074
B-spline,0.00436827956989,0.0890456989247,0.0,0.0994623655914,2976,0.00336021505376,0.00840053763441,0.0436827956989,0.000672043010753,0.0245295698925
Ball (mathematics),0.00150715900528,0.10851544838,0.00150715900528,0.105501130369,1327,0.00678221552374,0.0120572720422,0.0467219291635,0.0060286360211,0.0233609645818
Bicentric quadrilateral,0.00313916986397,0.114405301709,0.0,0.0854551796303,2867,0.00558074642483,0.00488315312173,0.0446459713987,0.00104638995466,0.0313916986397
Binary space partitioning,0.00682235633692,0.10495932826,0.00183678824456,0.103647336657,3811,0.00393597480976,0.00524796641301,0.0272894253477,0.0010495932826,0.0202046706901
Birational geometry,0.00735863671572,0.0805577072037,0.00232378001549,0.0975987606507,2582,0.00580945003873,0.0116189000775,0.0518977536793,0.00580945003873,0.013942680093
Borromean rings,0.00609756097561,0.0878048780488,0.0,0.0849593495935,2460,0.000406504065041,0.00487804878049,0.029674796748,0.00325203252033,0.020325203252
Brahmagupta's formula,0.00587371512482,0.116005873715,0.0,0.111600587372,681,0.00440528634361,0.00440528634361,0.0440528634361,0.0014684287812,0.014684287812
Bretschneider's formula,0.00337837837838,0.128378378378,0.0,0.114864864865,296,0.00337837837838,0.00675675675676,0.0337837837838,0.00337837837838,0.0202702702703
Burmester's theory,0.00212652844232,0.124401913876,0.000531632110579,0.108452950558,1881,0.00425305688464,0.00744284954811,0.0324295587453,0.00106326422116,0.0196703880914
Bézier curve,0.00267444687576,0.0797471432045,0.00194505227328,0.0940919037199,4113,0.00267444687576,0.010697787503,0.0333090201799,0.0024313153416,0.025771942621
Cavalieri's principle,0.00182926829268,0.128048780488,0.000609756097561,0.126219512195,1640,0.00792682926829,0.00548780487805,0.044512195122,0.00243902439024,0.0158536585366
