,revisions
2013-07-08,1.0
2013-07-15,0.0
2013-07-22,1.0
2013-07-29,0.0
2013-08-05,1.0
2013-08-12,1.0
2013-08-19,0.0
2013-08-26,0.0
2013-09-02,0.0
2013-09-09,0.0
2013-09-16,0.0
2013-09-23,0.0
2013-09-30,0.0
2013-10-07,2.0
2013-10-14,0.0
2013-10-21,0.0
2013-10-28,0.0
2013-11-04,0.0
2013-11-11,0.0
2013-11-18,3.0
2013-11-25,1.0
2013-12-02,3.0
2013-12-09,2.0
2013-12-16,0.0
2013-12-23,0.0
2013-12-30,19.0
2014-01-06,12.0
2014-01-13,12.0
2014-01-20,2.0
2014-01-27,1.0
2014-02-03,7.0
2014-02-10,0.0
2014-02-17,3.0
2014-02-24,0.0
2014-03-03,3.0
2014-03-10,2.0
2014-03-17,1.0
2014-03-24,0.0
2014-03-31,0.0
2014-04-07,1.0
2014-04-14,0.0
2014-04-21,0.0
2014-04-28,5.0
2014-05-05,2.0
2014-05-12,4.0
2014-05-19,0.0
2014-05-26,0.0
2014-06-02,2.0
2014-06-09,0.0
2014-06-16,0.0
2014-06-23,1.0
2014-06-30,5.0
2014-07-07,0.0
2014-07-14,0.0
2014-07-21,0.0
2014-07-28,0.0
2014-08-04,0.0
2014-08-11,0.0
2014-08-18,0.0
2014-08-25,0.0
2014-09-01,0.0
2014-09-08,6.0
2014-09-15,0.0
2014-09-22,0.0
2014-09-29,2.0
2014-10-06,0.0
2014-10-13,6.0
2014-10-20,0.0
2014-10-27,0.0
2014-11-03,0.0
2014-11-10,0.0
2014-11-17,0.0
2014-11-24,0.0
2014-12-01,0.0
2014-12-08,0.0
2014-12-15,2.0
2014-12-22,1.0
2014-12-29,0.0
2015-01-05,3.0
2015-01-12,2.0
2015-01-19,0.0
2015-01-26,3.0
2015-02-02,0.0
2015-02-09,3.0
2015-02-16,0.0
2015-02-23,2.0
2015-03-02,2.0
2015-03-09,0.0
2015-03-16,0.0
2015-03-23,0.0
2015-03-30,0.0
