,revisions
2007-12-31,22.0
2008-01-31,38.0
2008-02-29,64.0
2008-03-31,74.0
2008-04-30,53.0
2008-05-31,80.0
2008-06-30,34.0
2008-07-31,25.0
2008-08-31,60.0
2008-09-30,72.0
2008-10-31,76.0
2008-11-30,39.0
2008-12-31,52.0
2009-01-31,38.0
2009-02-28,89.0
2009-03-31,63.0
2009-04-30,46.0
2009-05-31,30.0
2009-06-30,25.0
2009-07-31,55.0
2009-08-31,33.0
2009-09-30,52.0
2009-10-31,51.0
2009-11-30,25.0
2009-12-31,34.0
2010-01-31,46.0
2010-02-28,98.0
2010-03-31,64.0
2010-04-30,16.0
2010-05-31,3.0
2010-06-30,13.0
2010-07-31,18.0
2010-08-31,14.0
2010-09-30,3.0
2010-10-31,4.0
2010-11-30,15.0
2010-12-31,3.0
2011-01-31,2.0
2011-02-28,0.0
2011-03-31,23.0
2011-04-30,29.0
2011-05-31,13.0
2011-06-30,20.0
2011-07-31,8.0
2011-08-31,30.0
2011-09-30,34.0
2011-10-31,27.0
2011-11-30,25.0
2011-12-31,18.0
2012-01-31,21.0
2012-02-29,24.0
2012-03-31,19.0
2012-04-30,19.0
2012-05-31,20.0
2012-06-30,29.0
2012-07-31,13.0
2012-08-31,12.0
2012-09-30,20.0
2012-10-31,20.0
2012-11-30,14.0
2012-12-31,4.0
2013-01-31,12.0
2013-02-28,15.0
2013-03-31,31.0
2013-04-30,15.0
2013-05-31,24.0
2013-06-30,23.0
2013-07-31,12.0
2013-08-31,22.0
2013-09-30,6.0
2013-10-31,6.0
2013-11-30,19.0
2013-12-31,23.0
2014-01-31,13.0
2014-02-28,65.0
2014-03-31,21.0
2014-04-30,30.0
2014-05-31,20.0
2014-06-30,18.0
2014-07-31,7.0
2014-08-31,23.0
2014-09-30,23.0
2014-10-31,23.0
2014-11-30,23.0
2014-12-31,8.0
2015-01-31,21.0
2015-02-28,17.0
2015-03-31,3.0
