pagename,centrality,closeness,betweenness,current flow closeness,current flow betweenness,eigenvector,exclusive editors
2D computer graphics,1.0,1.0,0.0154665087806,6.22264493532,0.00438133471136,0.0399550497395,139
3D computer graphics,1.0,1.0,0.0,8.09960309112,0.00699666146165,0.0658232645143,240
3-sphere,1.0,1.0,0.0,7.85891300389,0.00736031627754,0.0527479199692,117
Affine geometry,1.0,1.0,0.0,7.64516441773,0.00708361292297,0.0488328982291,82
Algebraic geometry,1.0,1.0,0.0,9.72569251917,0.0111896443398,0.0921895102172,213
Altitude (triangle),1.0,1.0,0.0,8.11106593025,0.00729638825032,0.0612855247421,128
Analytic geometry,1.0,1.0,0.0,9.65268534648,0.0106094876552,0.0923826578582,176
Angle,1.0,1.0,0.0,11.0735514856,0.0150273413916,0.151482610299,468
Angle trisection,1.0,1.0,0.0,7.77188958366,0.00674353418788,0.0549070532358,127
Aperiodic tiling,1.0,1.0,0.0,6.9410092252,0.0062535830181,0.0404436222907,104
Archimedean solid,1.0,1.0,0.0,8.6302811009,0.0085349527927,0.0668242885672,130
Astronomy,1.0,1.0,0.0,11.5722550735,0.0174451005293,0.191045110717,1239
Ball (mathematics),1.0,1.0,0.0,7.91818359766,0.00704245702331,0.0564568698383,118
Bézier curve,1.0,1.0,0.0,9.34756669237,0.00990527317419,0.0845474806132,264
Birational geometry,1.0,1.0,0.00263714494243,5.52740494922,0.00426668191555,0.027029565389,32
B-spline,1.0,1.0,0.0,6.98360949053,0.00587856217135,0.0422495309955,107
Circle,1.0,1.0,0.0,11.5687321161,0.0175630201093,0.181907313834,807
Circumscribed circle,1.0,1.0,0.0,8.10148954234,0.00722905634527,0.0609185627116,112
Compass-and-straightedge construction,1.0,1.0,0.0,9.30511788904,0.00979714238442,0.0831852585321,202
Computer graphics,0.992805755396,0.992857142857,0.0021053964282,7.82407095267,0.00647277856891,0.0624177828094,240
Concyclic points,0.992805755396,0.992857142857,0.0362873676214,4.8471157666,0.00340335983172,0.0230394907332,32
Conformal geometry,1.0,1.0,0.0,7.11132499201,0.0064392396289,0.0413179535703,58
Congruence (geometry),1.0,1.0,0.0,8.93921291135,0.00870054804309,0.0780381414567,199
Conic section,1.0,1.0,0.0,10.3274770772,0.0126678630905,0.112692619565,303
Convex hull,1.0,1.0,0.0,7.80906574351,0.0073736226269,0.0515874755459,117
Convex uniform honeycomb,1.0,1.0,0.00126284065915,6.27609602313,0.00500795483092,0.0345138819068,60
Coxeter group,1.0,1.0,3.47548048518e-05,7.22439304726,0.00664323983051,0.0422841537053,77
Cross-ratio,1.0,1.0,0.0,7.51042598924,0.00684868805638,0.0465986911558,62
Crystal,1.0,1.0,0.0,10.2579079523,0.0117014413692,0.130131324328,622
Crystal system,1.0,1.0,0.0,7.34331106337,0.0062134351735,0.0475108549104,101
Delaunay triangulation,1.0,1.0,0.0,7.6278652484,0.00690562919654,0.0497313288253,125
Desargues' theorem,1.0,1.0,0.0,7.64337458798,0.0071029111224,0.0488027702993,70
Differential geometry,1.0,1.0,0.0,9.22162910519,0.0101935119056,0.0771857254117,168
Discrete geometry,1.0,1.0,0.0,7.17958158149,0.0063936704734,0.0430355901392,61
Ellipse,1.0,1.0,0.0,10.7800353131,0.0143073121627,0.12982163302,490
Ellipsoid,1.0,1.0,0.0,8.43935120011,0.00795785470699,0.0641165159205,139
Elliptic geometry,1.0,1.0,0.000434435060647,6.78032626046,0.00554850495126,0.0399187234248,70
Epipolar geometry,1.0,1.0,0.330490886794,3.95779885881,0.00254490318309,0.0174091422204,38
Equilateral triangle,1.0,1.0,0.0,8.8930103289,0.0087605594269,0.0761073007044,151
Erlangen program,1.0,1.0,0.0,6.91200746549,0.00590223718531,0.0398393886687,70
Euclidean geometry,1.0,1.0,0.0,10.5121742094,0.0132292651539,0.120985290877,361
Finite geometry,1.0,1.0,0.0,7.08794586588,0.00637881677081,0.0410113233752,57
Four-dimensional space,1.0,1.0,0.0,10.3763257186,0.0125600811666,0.118133437771,458
Fractal,1.0,1.0,0.0,11.0539074341,0.0150685509206,0.152069755483,759
Geometrization conjecture,1.0,1.0,0.0,6.95987245686,0.00624634636666,0.0398419857039,74
Geometry,1.0,1.0,0.0,11.1748486492,0.015461216735,0.163143985029,599
Geometry of numbers,1.0,1.0,0.0,6.29057283158,0.00544125031465,0.0319755708931,39
Group action,1.0,1.0,0.0,8.89235379832,0.00962055953741,0.0688882703093,157
Handedness,1.0,1.0,0.0,8.9438864004,0.0088957846557,0.0780361603522,427
Hilbert's axioms,1.0,1.0,0.0,6.532195611,0.00519019680802,0.0370688396406,77
Hilbert's third problem,1.0,1.0,1.4894916365e-05,6.00182586113,0.00479628164762,0.0308907274379,45
Homogeneous coordinates,1.0,1.0,0.0,7.76915455414,0.00730199261051,0.0492942720137,81
Hyperbola,1.0,1.0,0.0,9.86231000467,0.0112466441004,0.0981158198167,252
Hyperbolic geometry,1.0,1.0,0.0,9.26063429663,0.0101854508181,0.0778938251535,193
Hyperboloid,1.0,1.0,0.0,7.40299643987,0.00652594815755,0.0469145956286,82
Information geometry,1.0,1.0,0.000707260278734,5.42024498817,0.00414167044754,0.02636984257,51
Invariant (mathematics),1.0,1.0,0.0,6.67302578856,0.00543495730438,0.0376122005564,57
Inversive geometry,1.0,1.0,0.0,8.35062910359,0.0082326573775,0.0596780190213,98
Isometry,1.0,1.0,0.0,7.44610431162,0.00649219656794,0.0476937158554,81
Johnson solid,1.0,1.0,0.0,7.19252317461,0.00613878874723,0.0447474556501,92
Kepler conjecture,1.0,1.0,0.0,7.32976329849,0.00645649601659,0.0459271282819,108
Kepler–Poinsot polyhedron,1.0,1.0,0.0,7.50695587812,0.00682084446973,0.0477488555712,95
Kite (geometry),1.0,1.0,0.0,8.59731211997,0.00813291276683,0.0703307716451,156
Lattice (group),1.0,1.0,0.0,7.30344184791,0.00653394597475,0.0439310192939,76
Leech lattice,1.0,1.0,0.0,5.99638035723,0.00495552786038,0.0302537232442,50
Lie sphere geometry,0.985611510791,0.985815602837,0.67926627642,3.542376523,0.00225854702011,0.0152410827395,25
Line (geometry),1.0,1.0,0.0,9.89930924299,0.0109724278802,0.104033371899,290
Locus (mathematics),1.0,1.0,0.0,8.16576942556,0.00740375034376,0.0604941683195,119
Mathematical morphology,1.0,1.0,0.0,5.90062288747,0.00433090934254,0.032133545512,65
Mathematics,1.0,1.0,0.0,11.9164719647,0.0196636900635,0.208817573507,1509
Mathematics and fiber arts,1.0,1.0,0.00522203355328,4.87178451092,0.00358835974225,0.0227001175448,33
Matrix representation of conic sections,0.992805755396,0.992857142857,0.00606049322033,5.33569317561,0.00397051273778,0.0260289535581,46
Minkowski addition,1.0,1.0,0.0,6.74986003667,0.00598604270389,0.0368922110787,56
Minkowski space,1.0,1.0,0.0,8.52553449875,0.00844069468923,0.0636721802018,173
Minkowski's theorem,1.0,1.0,0.00293256078367,5.95738729277,0.00481401471209,0.0306322320782,41
Möbius transformation,1.0,1.0,0.0,8.47015518093,0.00882273933937,0.0607279257469,144
Nine-point circle,1.0,1.0,0.0,7.77864220296,0.00690233398851,0.0548108936697,109
Non-Euclidean geometry,1.0,1.0,0.0,10.0278834,0.0118181414812,0.101777668752,285
Normal (geometry),1.0,1.0,0.00202446738262,7.59017072049,0.00656661402658,0.0507368402723,91
Pappus's hexagon theorem,1.0,1.0,0.0,6.91705688741,0.00604616770469,0.039550791393,48
Parabola,1.0,1.0,0.0,10.8942764031,0.0144180347852,0.14013000629,487
Parallel (geometry),1.0,1.0,0.0,8.81233019391,0.00830351629609,0.0766293406786,163
Parallelogram law,1.0,1.0,0.0,6.15565085752,0.00466108520443,0.0338290152189,57
Parallel postulate,1.0,1.0,0.0,8.81638671003,0.00866528558031,0.0722365314699,144
Pascal's theorem,1.0,1.0,0.0,8.24433321435,0.00809099946899,0.0573781814809,85
Penrose tiling,1.0,1.0,0.0,8.83612487126,0.00930118899219,0.0694293996467,195
Pi,1.0,1.0,0.0,12.1014882066,0.021332582452,0.214947709682,1798
Platonic solid,1.0,1.0,0.0,10.638697738,0.0137414118969,0.126066120183,367
Point (geometry),1.0,1.0,0.0,9.47820570306,0.00994457164754,0.0897881479188,174
Point groups in three dimensions,1.0,1.0,0.0,6.2869914724,0.00514812790099,0.0337300625106,57
Polygon,1.0,1.0,0.0,10.7961093302,0.0141995652172,0.133608577253,395
Polyhedron,1.0,1.0,0.0,10.4795620941,0.0133517417614,0.117452325471,308
Polytope,1.0,1.0,0.0,7.93883834052,0.0075114395787,0.0535369254486,120
Pons asinorum,1.0,1.0,0.00455387243001,5.48463946065,0.00402279673002,0.0279622674938,57
Projective geometry,1.0,1.0,0.0,8.99673067177,0.00973533538373,0.0701247968762,115
Projective plane,1.0,1.0,0.0,7.84667277477,0.00726360967023,0.052204576258,91
Projective space,1.0,1.0,0.0,8.07117874863,0.00790339888962,0.0545132035565,110
Ptolemy's theorem,1.0,1.0,0.0,7.48250249579,0.00664993673269,0.047745741894,94
Pythagorean theorem,1.0,1.0,0.0,11.9234749538,0.0198415241841,0.202598527679,947
Pythagorean triple,1.0,1.0,0.0,9.80643066418,0.0108906519718,0.0989663513691,331
Quadrilateral,1.0,1.0,0.0,10.4439788892,0.0126702998833,0.124818372655,319
Quasicrystal,1.0,1.0,0.0,8.27965018517,0.00809735140163,0.0599548023976,200
Ray tracing (graphics),1.0,1.0,0.0,7.76349465232,0.0067057123873,0.0558216891694,249
Rectangle,1.0,1.0,0.0,10.1533710746,0.0117689514143,0.113283037216,279
Regular polytope,1.0,1.0,0.0,7.63827695998,0.00683144392934,0.0513470472274,129
Rhombus,1.0,1.0,0.0,10.1850046733,0.0118105584819,0.116014266029,340
Riemannian geometry,1.0,1.0,0.0,7.61027002816,0.00688452881503,0.0491936634107,104
Riemann sphere,1.0,1.0,0.0,7.5954014577,0.00694328819889,0.0486548050777,91
Right triangle,1.0,1.0,0.00398910685117,7.35340645049,0.00589152727724,0.0515291498177,100
Rotation (mathematics),1.0,1.0,0.0,7.71344805885,0.0068038551401,0.0520671878409,112
Schläfli symbol,1.0,1.0,0.0,6.99223902533,0.00599907575754,0.0412964829696,58
Shape,1.0,1.0,0.0,9.43599353046,0.00963257738446,0.0941026255299,247
Similarity (geometry),1.0,1.0,0.0,9.15449140601,0.00945628201256,0.0789828356941,157
Sphere,1.0,1.0,0.0,10.6204416954,0.0133834632312,0.128608743979,444
Sphere packing,1.0,1.0,0.0,7.82768859244,0.00765397694723,0.0501581756491,104
Spherical trigonometry,1.0,1.0,0.0,8.02169774859,0.00727374515477,0.0567894845562,144
Square,1.0,1.0,0.0,10.3875495931,0.0123478062967,0.125832774972,400
Squaring the circle,1.0,1.0,0.0,9.06999848044,0.00926887515066,0.0782674901365,235
Star polygon,1.0,1.0,0.0,8.14603695915,0.0077480687412,0.0570854126008,106
Steiner chain,1.0,1.0,0.00491979087537,5.21483449102,0.00398780416758,0.0242776254157,25
Stereographic projection,1.0,1.0,0.0,7.79948146698,0.00716585844605,0.0519587180367,139
Symmetry,1.0,1.0,0.0,10.8329080243,0.014537661681,0.131819462847,389
Symmetry group,1.0,1.0,0.0,7.53080777684,0.00662083733565,0.0489402250352,80
Symplectic geometry,1.0,1.0,0.0,7.33193258532,0.00673122595209,0.0442598744876,60
Systolic geometry,1.0,1.0,0.0,5.71830910226,0.00451159521058,0.0287435476895,41
Tangential quadrilateral,1.0,1.0,0.000197233517534,5.85818360869,0.00451494160131,0.0309847387913,35
Taxicab geometry,1.0,1.0,0.0,7.43081494719,0.00647097864046,0.0478587585931,123
Tessellation,1.0,1.0,0.0,10.6117387991,0.0135192191823,0.126079331662,416
Tetrahedron,1.0,1.0,0.0,10.365526312,0.0130169961539,0.112082784991,322
Thales' theorem,1.0,1.0,0.0,7.70284163726,0.00682233624491,0.0519327534815,117
Topology,1.0,1.0,0.0,10.7682923675,0.014214204124,0.131066276175,420
Torus,1.0,1.0,0.0,9.52092432738,0.0105655464244,0.0852878865995,234
Trapezoid,1.0,1.0,0.0,10.6040815937,0.0132628767192,0.130474114425,374
Triangle,1.0,1.0,0.0,11.8183305375,0.0190968560572,0.202606052669,916
Triangle inequality,1.0,1.0,0.0,8.06701688883,0.00723545814207,0.0587620830451,111
Trigonometry,1.0,1.0,0.0,11.4034490862,0.0164420829229,0.17693882778,854
Uniform polyhedron,1.0,1.0,0.0,7.15377408981,0.00642754245478,0.0423638310922,87
Voronoi diagram,1.0,1.0,0.0,8.34481121864,0.00841999195036,0.0590229857319,180
Wallpaper group,1.0,1.0,0.0,7.71472194398,0.00715274212362,0.0507987439843,111
Zonohedron,0.992805755396,0.992857142857,0.0827328199552,4.75017438756,0.00355516544855,0.0210282927159,41
